date_value,country_code,confirmed,deaths,stringency_actual,stringency,stringency_legacy,stringency_legacy_disp
2020-01-24,CPV,0,0,0,0,0,0
2020-01-24,CRI,0,0,0,0,0,0
2020-01-24,CUB,0,0,0,0,0,0
2020-01-24,CYP,0,0,0,0,0,0
2020-01-24,CZE,0,0,5.56,5.56,9.52,9.52
2020-01-24,DEU,0,0,5.56,5.56,9.52,9.52
2020-01-24,DJI,0,0,0,0,0,0
2020-01-24,DMA,0,0,0,0,0,0
2020-01-24,DNK,0,0,0,0,0,0
2020-01-24,DOM,0,0,0,0,0,0
2020-01-24,DZA,0,0,0,0,0,0
2020-01-24,ECU,0,0,0,0,0,0
2020-01-24,EGY,0,0,0,0,0,0
2020-01-24,ERI,0,0,0,0,0,0
2020-01-24,ESP,0,0,0,0,0,0
2020-01-24,EST,0,0,0,0,0,0
2020-01-24,ETH,0,0,0,0,0,0
2020-01-24,FIN,0,0,0,0,0,0
2020-01-24,FJI,0,0,11.11,11.11,14.29,14.29
